"LAI","h3","d","wL","P50","P12","pxmin","pxgs50","slope"
3,25,14,0.119990123796831,-12.1852557756143,-6.42296719056466,-19.6681884734955,-8.08306087661349,0.927277529848575
1,100,14,0.154405172566947,-12.1852557756143,-6.42296719056466,-6.35195146975565,-4.11143524792766,0.783125202433827
3,100,14,0.137998563195089,-12.1852557756143,-6.42296719056466,-10.344749023705,-5.66567616840855,0.835120154621841
1,200,14,0.16541927090295,-12.1852557756143,-6.42296719056466,-4.75426657295539,-3.32006356678398,0.759370680208464
3,200,14,0.148253178327049,-12.1852557756143,-6.42296719056466,-7.55595043761539,-4.6408305820447,0.798979954832196
1,1,15,0.11006086643124,-13.0556311881581,-6.88175056131928,-27.0470580032491,-11.7442482225517,0.804575896375862
3,1,15,0.107880456780645,-13.0556311881581,-6.88175056131928,-29.0978759365177,-12.4665231066461,0.751522675040503
1,25,15,0.131399453238506,-13.0556311881581,-6.88175056131928,-12.8539004666277,-6.48279830445771,0.860561340083767
3,25,15,0.117833201903822,-13.0556311881581,-6.88175056131928,-21.2484064225186,-8.55298627293407,0.931047422559282
1,100,15,0.151701850417523,-13.0556311881581,-6.88175056131928,-6.83609298377642,-4.35064364524257,0.787324971868684
3,100,15,0.13559216167564,-13.0556311881581,-6.88175056131928,-11.1357119646138,-5.9879470285496,0.838536975708928
1,200,15,0.162488925956089,-13.0556311881581,-6.88175056131928,-5.11894997420366,-3.51818520398213,0.764114275393611
3,200,15,0.145668855584021,-13.0556311881581,-6.88175056131928,-8.1309354838417,-4.90784956968179,0.802877489981764
